Wall time,Step,Value
1504559721,55632,2.196977139
1504559837,55743,1.767326236
1504559958,55858,2.351328135
1504560080,55976,1.896346927
1504560199,56092,2.397692204
1504560320,56208,1.632649302
1504560438,56323,2.130380869
1504560557,56438,2.401948452
1504560682,56556,1.101803541
1504560799,56671,2.647651196
1504560918,56788,1.623528719
1504561038,56904,1.534098864
1504561158,57019,1.85247004
1504561279,57137,1.656245828
1504561398,57253,1.986176252
1504561517,57369,1.530632854
1504561640,57488,2.135401726
1504561757,57603,2.174992323
1504561878,57719,1.559182048
1504562003,57837,2.138772726
1504562120,57951,1.928941011
1504562239,58067,2.101399183
1504562360,58184,2.910300493
1504562479,58300,1.60287559
1504562600,58417,1.947079659
1504562718,58533,1.37714386
1504562841,58652,3.183799744
1504562957,58764,1.574599862
1504563080,58883,1.831677079
1504563197,58999,1.922347188
1504563321,59117,1.138402939
1504563437,59230,1.7754035
1504563558,59345,1.734718084
1504563680,59464,2.44366169
1504563798,59580,1.683224797
1504563921,59699,2.464072227
1504564041,59814,2.071738005
1504564158,59926,1.918143988
1504564280,60043,1.856589437
1504564400,60159,1.860991001
1504564521,60276,2.157627821
1504564638,60391,2.482117176
1504564758,60506,1.920673728
1504564881,60624,1.567302465
1504564998,60737,2.608043432
1504565121,60855,1.958941817
1504565238,60970,2.559565067
1504565358,61085,1.731046319
1504565480,61203,2.099799156
1504565600,61319,1.711425424
1504565718,61435,1.498089552
1504565838,61551,1.327973127
1504565961,61669,1.797090173
1504566082,61783,1.504361272
